0.21389,6.2325,0.52824,0.010262
0.079764,7.5838,0.76826,0.069651
0.11599,13.561,0.42457,0.11217
0.11646,18.15,0.4212,-0.013638
0.22577,13.828,0.31399,0.098421
0.13221,15.274,1.0432,0.09527
0.13763,18.747,0.39406,0.015972
0.10813,15.518,0.66421,0.07431
0.089845,9.3734,0.10559,0.073836
0.1596,10.337,0.01778,-0.031541
0.14238,15.25,0.99662,0.057524
0.20919,14.431,-0.21452,-0.016487
0.13981,19.084,0.32726,-0.00071742
0.072549,12.116,0.33235,0.12729
0.097756,9.5449,0.33825,0.067669
0.16935,13.465,0.62028,0.065843
0.051921,9.1246,0.37166,0.10286
0.23246,5.433,0.15991,-0.0025748
0.092603,21.425,0.74433,0.028473
0.11372,11.943,-0.12071,0.092919
0.2074,8.9887,-1.0572,-0.019564
0.19656,8.6192,0.82125,0.013605
0.21284,12.356,0.93475,0.17637
0.031643,8.5979,0.33019,0.10845
0.059042,11.207,1.2962,0.12669
0.060673,12.259,0.85744,0.1507
0.10747,11.444,-0.29481,0.019985
0.06436,10.819,0.64213,0.11093
0.26384,8.9731,-0.41477,0.054594
0.076907,9.9103,1.341,0.10196
0.045457,9.1375,0.37297,0.099154
0.10481,9.282,0.83066,0.066239
0.034302,9.6349,1.0278,0.11623
