-0.053489,0.29482,1.1953,0.94792,0.29482,1.1953
-0.11697,0.22382,0.19339,0.88961,0.22382,0.19339
0.38489,0.4175,0.9073,1.4695,0.4175,0.9073
0.24483,1.1662,1.0132,1.2774,1.1662,1.0132
0.22805,0.4448,0.26039,1.2562,0.4448,0.26039
-0.26941,0.31054,0.36821,0.76383,0.31054,0.36821
-0.24895,0.13123,0.3072,0.77962,0.13123,0.3072
0.04867,-0.023077,-0.009179,1.0499,-0.023077,-0.009179
0.0015218,0.63285,0.55506,1.0015,0.63285,0.55506
0.32605,-0.28343,0.18053,1.3855,-0.28343,0.18053
0.056458,0.27994,0.18784,1.0581,0.27994,0.18784
-0.42547,0.56408,1.1595,0.65346,0.56408,1.1595
-0.23895,0.34485,0.54945,0.78745,0.34485,0.54945
0.33974,0.43274,0.42111,1.4046,0.43274,0.42111
-0.56962,0.72328,0.97694,0.56574,0.72328,0.97694
-0.14275,0.22194,-0.15482,0.86697,0.22194,-0.15482
-0.312,0.19172,0.547,0.73198,0.19172,0.547
-0.067418,-0.46905,0.74136,0.9348,-0.46905,0.74136
0.22172,-1.1182,0.13973,1.2482,-1.1182,0.13973
0.074243,0.64363,0.30568,1.0771,0.64363,0.30568
-0.021283,0.48347,1.0858,0.97894,0.48347,1.0858
-0.25593,1.0173,1.1246,0.7742,1.0173,1.1246
0.13841,-0.17348,0.12362,1.1485,-0.17348,0.12362
-0.53886,0.83614,1.2728,0.58341,0.83614,1.2728
0.22222,-0.37589,0.45242,1.2488,-0.37589,0.45242
-0.62024,1.4865,0.84247,0.53782,1.4865,0.84247
-0.0093285,0.64291,0.16176,0.99071,0.64291,0.16176
-0.92128,0.96628,0.9613,0.39801,0.96628,0.9613
